"","ICL","BSTa","IMRF","IN","IO","IR","IRF","DON","Dp","DP","DTN","ECL","APN","EG","EmTl","EmTm","EmTr","ENd","ENv","EW","ATN","GC","GL","Had","Hav","Hc","Hd","Hv","I (thalamus)","Vd-dd","Vd-vd","Vdd","Vl","VL","VM","LC","LCa","LH","BSTm","MaON","MFN","MON","BSTpd","NC","UnkD","UnkMS","UnkR","UnkSC","UnkVT","NDV","NI","NIn","NLL","nLOT-a","nLOT-i","nLOT-p","NLV","NMLF","Vc","DAO","Dc","DH","DIL","Dl","AON","Dm","A","NR","OENc","OENr","P","PCN","PGa","PGc","PGl","PGm","PGZ","PL","PM","PMg","PO","PON","PPa","PPd","PPp","PPv","PSm","PTN","PVO","RT","SC","SD","SG","SGN","SO","SR","SRF","SRN","CC","TeO","TGN","TL","TLa","Cce-g","TPp","TSc","TSvl","Val-g","Val-m","Cce-m","Vam-g","Vam-m","VAO","CPN","IVm","Vmd","Vmn","Vmv","Vsm","Vp","Vs","Vv","ZL","IIIm","IXm","XLo","Xm","CIL","VImc","VImr","VIILo","VIIm","CON","CP","CM","IXLo","E","PSp","R","LRN","MAC","SCO","T","region.1"
"ICL",1,0.460788466818487,0.360933978456387,-0.0393617220520768,-0.108968873637958,-0.167705976097615,-0.0237361277176506,0.283252729595648,0.412208726043699,-0.701347417052304,0.336470357481391,0.951286137308681,-0.672357594053352,0.227818164768432,0.0441329714926746,-0.0370372577482002,0.201845792862568,-0.203088283236825,0.147159985184696,-0.336060131297863,0.548300466120706,0.150725727597869,0.622388496587725,-0.257226501316933,0.409012617342776,0.409309631773853,0.487030979154566,0.525988581543914,0.503353114531343,0.638752943599511,0.541651785809317,0.603189378473516,0.0267548151120079,0.045401273140404,0.547431073524871,0.0355948750748009,-0.19974513863587,0.50092887652188,0.46925598623905,0.242195821641581,0.113301783592435,-0.157785422419481,-0.37533053685815,0.476076731884185,-0.438445664656711,-0.382432400927838,-0.0567089195143631,0.332190055133006,0.109429668503967,0.449888423784887,-0.23135136521233,0.0885927003415021,-0.102850858933038,0.0779047512982559,-0.0655721907488939,0.018348527142412,0.150222064687665,-0.476257897326762,0.59083457592705,-0.513334404776272,-0.026431271726196,-0.0525880586382409,0.237992093608131,0.390725593538937,-0.153674064828544,0.590421104467234,0.10304533910655,-0.00253314829053908,0.642212350059244,0.612931730706534,-0.32587765975122,-0.343371345216371,0.648736331293241,0.0591971698373756,0.340708719689165,0.367747123427185,-0.101809225133558,-0.0352611675665474,0.217159059486598,-0.150618722659549,-0.609418063608523,-0.169369982006806,0.593096397121399,-0.649214331738338,0.446995412419819,-0.35334171511556,-0.169843930596531,0.215138658339372,0.116514693241195,-0.62080412364632,0.516861845899489,0.00884640157443017,0.238102217040167,0.205062011316738,0.343895337608965,0.497678650047821,0.10235446853446,0.0940654170150457,0.0581955837108043,-0.510373537331302,0.484338707618375,-0.84954633445055,-0.103901244227449,0.435070916393893,-0.127448295722583,-0.261693983145317,-0.379491436627632,-0.442486702026969,-0.118184332787728,0.0293143111124121,0.303937905589909,0.181004487802671,-0.62578949612356,-0.418731938802903,0.423083321492711,0.02160220215494,-0.59625362164613,0.251428819911235,-0.256724806856035,0.570866318461725,0.455161498550967,0.53673226718181,0.412274362624271,0.229478165890142,0.207270660359899,0.407113907487881,-0.0696183550168336,0.428302211996881,-0.0951825706484493,-0.0736094546430012,0.401791867437814,-0.0522962518086637,-0.163052385944888,-0.131714452227148,0.238998031057288,0.126172651223338,-0.366306456309003,-0.201390280019731,-0.139477334690643,0.0176967002178337,-0.267619391838887,-0.268936402273438,-0.224526529268578,"ICL"
"BSTa",0.460788466818487,1,0.055879962815895,0.100395539383084,-0.12207414196282,-0.486585899875899,-0.126345674510827,-0.00231367555198964,-0.0372261458580095,-0.413356043651208,-0.131729453174775,0.462117553969764,-0.665948984599256,0.293048896418527,-0.369006662299986,-0.208711233651351,0.00733421468743753,-0.689813876700758,-0.566130334523277,-0.403133827593089,0.00895210658826084,-0.089237746579034,0.216752097089084,-0.413500439243758,-0.0861424397950907,-0.0616555089493505,-0.048640174618829,-0.0121446261570179,0.758883549936998,0.86771901843576,0.934746575661157,0.842292871704742,-0.543951742018232,-0.301975090896104,0.392023949335915,0.259424244677932,-0.439843826751731,-0.302845710655479,0.426985684726549,-0.322185541387272,0.230569500544554,-0.408100835804923,-0.478779439310218,0.462251966768232,-0.353973029100852,0.0385811030445475,0.0744544911357261,0.380755669528317,0.172046268078023,0.181717031938809,0.0533177852278097,-0.15655127277599,0.080793701849608,-0.436743207437599,-0.585765322925401,-0.249702286865006,-0.203832131394811,-0.255821083118952,0.798184245849349,-0.49264397196771,-0.0420980573983879,0.26998789704645,0.122910503335143,-0.1260748907423,0.0833136317001866,0.279450890043754,0.0283508052341067,0.0558702074849784,0.407510249640626,0.349972152180725,-0.167737958558491,-0.440893610299258,0.321106600982964,0.0194223630901784,0.218077902555948,0.203295791964425,-0.253522413441369,0.164284101406208,0.540632689305449,0.171164771397166,-0.555775056471147,-0.583166920906719,0.570744642328503,-0.444849888747778,0.313835466391221,-0.0712712584762759,-0.426959756407216,-0.0232529000572062,0.0505443719584454,-0.150723780277836,0.0631269103837668,0.0181358317348011,0.0468136246427352,0.245350380557276,0.195301901760221,0.0390179142606031,0.0426513764984864,0.0203263631180519,-0.133593565913599,-0.266539589006025,0.0530867538824981,-0.350239165388679,0.0721548746529571,-0.125741940346398,0.0150718707538669,-0.174575965327931,-0.268433546393156,-0.219084733607494,-0.424572339144131,-0.368326184034883,0.0628292937733183,0.308923892121773,-0.529688661286867,-0.349758588613068,-0.0484091786817215,0.034262220076413,-0.780053444001644,-0.0274174306187028,-0.215543441893385,0.667633291000147,0.364396801065766,0.783078309455675,0.0728495412308594,0.149479235483396,0.356492773341786,0.037939033853282,0.167889817894294,0.230993236819531,-0.188314138515544,-0.268341334868044,0.162063345930213,-0.392551889158525,-0.413803653395181,-0.0979905068068364,0.0346859734327672,-0.276765374059611,-0.656850865421696,-0.637776322432241,-0.25409800619069,0.0933237515595137,-0.299519986371055,-0.465317702426126,-0.233359282202211,"BSTa"
"IMRF",0.360933978456387,0.055879962815895,1,-0.500124467625828,0.170722117073368,0.301461340755192,0.695326443540313,0.522179051954987,0.366844544039465,-0.315546151484838,-0.106552652835712,0.451667455767336,-0.0215720711107077,0.0988150054245188,0.188304837220079,-0.231024186229328,0.0691886752346044,-0.130972081323891,0.00755188385725865,-0.314658454630843,-0.197756744614011,0.115898333254366,0.403123952887215,0.152608558077778,0.330758818217572,-0.215762761085834,0.168479776606939,-0.222781808853415,0.262230374650662,0.19285155338238,0.0668655394532186,0.278111123774336,-0.0274071058745436,0.346340980455169,-0.0307123061370502,0.608140166369971,0.0282946398964924,-0.082381079327865,0.463118251977061,0.133617031973663,-0.369064802442071,0.325563425165579,-0.148216033974627,0.0134662678170204,0.117065011492979,0.116909784573592,0.508688963187957,-0.232509811301646,0.0509687848997996,0.770473982746925,0.350021440875746,0.283778422376498,-0.0299216583566794,0.0227698136448737,0.212838504360077,0.447961694979741,-0.109494251939036,0.224784754690968,0.129689753020753,-0.165761244769431,-0.449997777745294,0.122154127231071,0.567891110979264,0.205214116943269,0.373829381668237,-0.127462930113152,0.23677132982659,0.0161631348504279,0.613935238273457,0.527716966288986,-0.111137193320757,0.00676462123246034,0.151295634584007,-0.125702965622488,-0.455866440784796,-0.145406235375318,-0.388725008232822,0.251133604594425,-0.144804788048578,0.0881683343255876,-0.118435080066348,0.0931831342291184,-0.0818737084558184,-0.153306401221834,0.0661515149820645,-0.0210081509454882,0.125979175516276,-0.495094447075481,-0.536400777067246,-0.031806305615119,-0.00813077849798537,0.178877607717539,0.438639347231563,0.192804004593701,0.64668710673314,0.730600145821604,0.740186781341669,0.592321255379799,-0.0650106739709265,0.019835083818677,0.296902079440072,-0.231802424522694,0.213368040017813,-0.0283103050847902,-0.284381751827815,-0.0418889173235004,-0.0217867441225315,-0.253802066360913,0.0135380458689523,-0.0767337462990548,-0.0553715963679658,0.440931351121286,0.0814458594416762,-0.0697885705320679,0.191388105750078,0.657332826287104,-0.138488431259442,0.835604431608879,0.384425198396965,0.373700964704547,0.265369337953652,0.0212855010147847,-0.337168130642723,0.554703756454083,0.442005445631,0.00933607781138741,0.105400673660111,0.673164853102204,0.446899311046269,0.135863480327418,0.225179265687317,0.0924569571506646,-0.336623084220105,-0.0526669476987364,0.524321563885486,0.0663894662911294,0.121543386311086,0.189705994506647,-0.331590704932,0.200718064691521,0.33681265530677,0.131300213762083,-0.361978980258691,"IMRF"
"IN",-0.0393617220520768,0.100395539383084,-0.500124467625828,1,0.284267081120664,-0.060235963807447,-0.342484828772405,0.114033103910017,0.267555446263547,0.146291514977148,0.217376297707639,0.0168293230339759,0.166947282319594,0.140203744742802,0.0797460747592995,0.485949892060263,0.247214012069055,-0.103277855160937,-0.130919127072512,0.101983937854757,0.568642800490897,0.512892099434294,0.0446846694166831,-0.00750361097338023,0.0301178267392925,0.449857414254113,0.243651956790465,0.59793840876329,-0.167716372597617,0.152713503242548,0.218761450969156,0.0148423356898198,0.0621027351067677,0.337420102915912,0.546534197365679,-0.0588866703938193,-0.129021911036584,-0.0831124602011391,0.0292035970049173,0.352138629159256,0.407728582176494,0.08745272813314,0.274794826029408,0.155755154455911,-0.151858891576561,0.11381393913825,-0.0695283642233898,0.589889959952584,0.242680887248985,-0.220717230885464,0.0846779035085869,0.476241771016939,0.634367657024157,-0.185274173075382,-0.061521406911261,-0.168658149359684,0.585808895922129,0.260838143617105,0.18436570394814,-0.0585260243091574,0.0376569860787761,-0.317491691463799,-0.0183020203313162,0.0638337974045079,-0.182982619250915,0.236612511176804,0.206363095892692,-0.0194965458779491,-0.172218041584482,0.0581464964313688,-0.119524827444762,0.238803125274448,0.0900138568592118,0.564499647478923,0.575018026053941,0.574801380551197,0.304408744390557,0.285543692997932,0.503197302454723,0.19672613787275,-0.013556416451573,0.00202636503072205,0.491385241864595,0.128228506512514,0.476118097057334,-0.0355974276704042,0.00739199307889368,0.743964841575104,0.861871505801544,-0.0140330248995196,0.439323078636945,-0.00142883580100954,0.149679781043214,0.473059461439249,-0.101037616832652,-0.0591667371935051,-0.0211164850221925,0.187904940677303,0.554397026767302,0.0606680885159745,0.432210559688478,0.0870726801850861,-0.0774174623857492,0.499562323946959,0.796837598053493,0.453231731869023,0.353230481121836,0.541207151951917,0.252406683190357,0.304759135983251,0.663451346471946,0.0260282591435112,-0.0663679817684791,-0.0721637258783304,0.254147041029352,-0.195914142015717,0.149629074378817,-0.327039593785735,0.0114741689110558,0.0198225736600766,-0.0375100232184998,0.24841562138055,0.506941727152986,-0.0695309832666036,-0.340330141832269,0.243204316768238,0.0351470038878759,-0.0806638504217145,-0.310967756047252,-0.442417994370749,0.407837555588331,0.237140659087088,0.168198621031016,0.439335478052087,0.181442222708275,0.268830348330096,0.0796072557743328,0.17856689642567,0.0708581432470474,0.288652942448016,0.104583314276747,0.279944540175802,0.136126380362589,"IN"
"IO",-0.108968873637958,-0.12207414196282,0.170722117073368,0.284267081120664,1,-0.0918940972894894,0.270627920835711,0.7225000545509,0.452122372739748,0.362551828723327,-0.108864318468789,0.10637812747658,0.3505302330449,0.601986008588782,0.732234799361072,0.161694157834222,0.452405970146479,0.0014480788877687,-0.258422351424159,-0.0664653826753722,0.197892003712661,0.660614473727395,0.367877410195718,0.277265743752241,0.300067612756829,0.290065074599617,0.0372895764435024,0.0876788826070172,-0.206535988944504,-0.117631797195045,-0.145842675925456,-0.0912759594116306,0.269769293018412,0.621721955669972,-0.0507865871965884,0.602812001874319,0.227481227891564,-0.114058679235199,-0.0556501355347221,0.376397566551236,-0.0300345318071658,0.705812947470464,0.702080996742977,0.0846171400649645,0.439117785018063,0.627458741122295,0.736696399490492,0.0756327712415758,0.625533381870431,0.42996541393342,0.602348462288119,0.372342672914691,0.649002446155445,-0.116296836841584,-0.023962497471098,0.36087437479893,0.402342279917794,0.113131102818083,0.0781182619285369,0.0335274881634947,0.077993924063614,0.0860491358694752,0.522148343286908,0.192491034843412,0.651722699346099,-0.000507077244452093,0.357613240230349,-0.147640534623833,0.264831452155109,0.406184812685535,0.00188339544086945,0.528605832036715,-0.0521669523617266,0.593819961897127,-0.00374440695221716,0.173155962890074,0.201107836947302,0.814237156972664,-0.137515208384063,-0.26307486585754,0.100938249618052,-0.0609048431757934,0.00799809725752104,0.424485554867792,0.0541612725074825,0.34055636384365,0.282477253776327,0.270483306511716,0.322035708697678,0.467497554764887,0.234100893138213,0.636387061989376,0.195837277424961,0.739696902396213,0.61342499999185,0.428597068903404,0.696142554760891,0.701666433853364,0.772165477575315,0.325351706345455,0.273940087249818,0.284761701500181,0.332002396854789,0.208939562254354,0.336999701710765,0.187883531093138,0.759738854349944,0.338670239477627,-0.0350782736714112,0.133786450793962,0.545293847132893,0.21889205900105,0.218669483374549,0.0726143804714724,0.186639221440952,0.5891639197004,0.205229731563822,0.553127614010132,0.778498893419679,-0.110916752706779,-0.206235365617211,-0.146493868427113,0.0153395733136307,0.292890040863464,0.224270379407499,0.182935048005709,0.639345201941282,0.498304331205864,0.362705014472973,-0.0894278562548927,0.740637751146989,0.357201330004517,-0.0928920114717789,0.50058054016082,0.636569096424094,0.28137300181503,0.0482333619268467,0.365562375094369,0.376945161837869,0.733530580725963,0.738647001541112,0.422488255927667,0.124875542591867,"IO"
"IR",-0.167705976097615,-0.486585899875899,0.301461340755192,-0.060235963807447,-0.0918940972894894,1,0.474926137434686,0.279204297191428,0.339132442141313,-0.0978597910140941,-0.221813056494779,-0.188148219143415,0.483641247397461,-0.296194605424378,0.0833655133873423,0.0859453744276623,0.27704271754426,0.321260602196727,0.17177495773894,-0.205173670886643,0.158642442268648,0.175932865957745,0.0788212327866554,0.762778954821485,0.181229183753958,0.0815205708138019,0.311143215023609,0.196702669889261,-0.124093507774841,-0.276438778344917,-0.323925908658621,-0.193937114718831,0.167180849965313,0.519020995803404,0.0515958758787621,0.0296635520943949,-0.0838385604335013,0.0211740621072862,0.174399072081311,0.13163488759602,-0.138630336402818,0.283215720722424,0.0487919470279878,-0.182877263169116,0.437297014526942,0.0738137211747479,0.117523397842419,-0.295614951966633,-0.0551865494259351,0.09344980190633,0.286049878420433,0.182139720428682,0.0907623257620208,0.0913980471510549,0.430797998663022,0.364168109912399,-0.00481326535474465,0.293762993686273,-0.415749281258035,-0.0720418013818217,-0.295391505312133,-0.0309931266479647,0.142755166476892,0.17131182103434,0.00501497927995541,-0.0521494261760369,0.498555094250494,-0.239228838745806,-0.16508765784459,-0.215832681691335,0.13723784168508,0.259755037339332,-0.151720360680028,-0.167719695774235,-0.160058444884439,-0.109226057047102,-0.245282027763368,0.0123748089277954,-0.198997183392518,0.193351749216059,0.0705713087185205,0.830407424443833,-0.118216054594112,-0.0456471645994147,0.18106634632707,0.0115886638966325,0.101316553086459,-0.0384449817342343,-0.00466728995312199,0.0393288616179612,0.293114370998821,0.12086555847496,0.0694631595232951,-0.00336966289796674,0.055267830093149,-0.0360216519028875,0.152813797794228,0.324869049853072,-0.148331861225666,0.520136675765489,0.313984181411191,0.16662444202506,0.256994395729731,-0.110990787703206,0.324217411428593,0.527268016208338,0.240318700198758,0.438370716137656,0.847695374599916,0.47613270604756,-0.116389036581553,0.0261434753727029,0.357562489274584,-0.127618640850298,0.171830532941926,0.277306934638061,0.316583413137822,0.0250188512559647,0.0763488921794584,0.148595886544977,0.0934250059316989,-0.298932025591232,0.0624370048005893,-0.0339262036931294,-0.0767415159605574,-0.190743785293599,-0.19137729459401,-0.0306158612509107,0.527225014968248,0.133395603752709,-0.132401294803267,0.454579555759423,0.441075554313323,0.319179870742411,-0.0208155837593809,-0.128114665019199,0.805479275852651,0.727164276381715,-0.149721188312459,0.183264943892743,-0.0856074051184388,0.571795391159017,-0.0492185028736543,"IR"
"IRF",-0.0237361277176506,-0.126345674510827,0.695326443540313,-0.342484828772405,0.270627920835711,0.474926137434686,1,0.387465859130851,0.490627590936835,0.239137421616943,-0.0148148595597155,0.0402992355149909,0.501502110632204,0.108070647560668,0.124959164445807,0.180205856441085,0.201030933043357,-0.203185630338045,-0.205728767010291,-0.103884095746388,-0.160939363377178,0.325903287365407,0.0410976188350544,0.554081201460686,0.476966869925917,-0.0640099669749855,0.116256074821352,-0.170363161735416,0.27997088241696,0.0862902427220928,-0.128598178574339,0.224422973606685,-0.304265256611158,0.318170155879887,-0.0376021109650396,0.413028493792132,0.426760931187499,-0.192288552045147,0.587999160421419,-0.0896115060434535,-0.177838695481095,0.342732198763624,-0.0869156934584995,0.223428340381821,0.264641081311873,0.418612379969763,0.509901040778674,-0.433083573006899,-0.187984489020141,0.750365927827476,0.433017506483543,0.258707029529298,0.29033140279524,0.189521404164648,0.405136341533544,0.736248521878437,0.0770972476997736,0.218406726538998,0.0855420912805017,0.00815941856397478,-0.331108350858886,0.471640611066997,0.497287029370048,0.505352938572454,0.47947930787182,-0.0303088422217767,0.548373640618921,0.318591241960952,0.542903218640445,0.354591497617895,0.132025303918877,0.46764138449634,0.168386434255605,0.00197487240793419,-0.344251326849191,-0.14562723945923,0.0564049969966098,0.334456801746781,-0.0424568865172932,0.200587327701706,0.104727514299686,0.176646969576112,0.0110091588631689,0.35525649378893,0.236994353305638,0.510140317566782,0.294304854699106,-0.321222449770419,-0.371284362372205,0.338562669538081,0.0837054346711794,0.327369524964475,0.127773760282874,0.14854411603009,0.527183683924177,0.447408459178822,0.619054443269253,0.407495281024212,-0.0781620681980874,0.393146473196956,0.398819353275731,0.0933192939399541,0.400292020714935,-0.113999811183722,0.168213808004552,0.419909688623553,0.373530043339741,0.14642791245529,0.274333274508255,-0.00753531575646104,-0.109873735163433,0.153922344249608,0.39131769673042,0.160746964414595,0.424444860856162,0.623677826766239,0.233096656745939,0.54286621507008,0.420403848402153,0.391352652109866,0.401506294488221,0.0852411286978787,-0.209186514733695,0.637286984406845,0.548393756679811,0.128640264296702,0.542662059537576,0.453206970323305,0.459832211753875,-0.0256385216837913,0.119598782893235,0.0160324402423353,-0.0832942649612824,0.457703297095663,0.561628822731199,-0.180259829807284,0.328246228265932,0.252520037392153,-0.412021399081881,0.174668671980461,0.157981853760611,0.371375029291975,-0.124771524639565,"IRF"
"DON",0.283252729595648,-0.00231367555198964,0.522179051954987,0.114033103910017,0.7225000545509,0.279204297191428,0.387465859130851,1,0.681269353743774,-0.262632457939703,-0.332550855514253,0.480464754997286,0.0818634560323858,0.455886854766702,0.711887066319147,0.0650511658143826,0.589775345337446,0.106197216256125,-0.206001473180476,-0.457957700777261,0.36453999056768,0.57469772763764,0.771566204046843,0.34594804809944,0.367088629212257,0.307266752236829,0.25982306313523,0.246622688187024,0.036432631358482,0.0377401585212541,0.0427344934443484,0.0870861340842218,0.351945497009575,0.730267697760661,0.124549034005826,0.612324964218986,-0.12609750046275,-0.0256739251032227,0.226966084661523,0.519524389270158,-0.204415212018342,0.731895823638819,0.515195524655911,0.0266175066907795,0.447155979843794,0.33664456557467,0.709753048991048,0.0533542954138456,0.671617093509588,0.647538217636788,0.597956849280907,0.313418881224614,0.380455458029451,-0.147308608268845,0.0279105754466319,0.548143342573429,0.163152011752378,0.0852228654107591,0.117321890122657,-0.348335320699904,-0.101372921901789,-0.0687354244575645,0.516305801453026,0.252533125268726,0.565466370858768,0.137055033958462,0.530050394191066,-0.396307626104363,0.452289677387292,0.557672556695142,-0.240035836452829,0.294666013745657,-0.0302539365333006,0.288334954448514,-0.140286122772989,0.045261929215177,-0.322184936681006,0.739949969000205,-0.159413227582871,-0.120116193811227,-0.280109639919213,0.249806370565181,0.142914467119902,-0.108198117025454,0.223381397991795,0.00245623928871376,0.0704404574948884,0.130081966953089,0.162128981053229,0.0696391733518509,0.453948404450257,0.520987635793712,0.243419828261268,0.705932530485843,0.835443602517078,0.523211193594165,0.712553916544829,0.864347090789496,0.566870920689106,0.22405204373239,0.363379284934621,-0.103963240737462,0.276964186515372,0.115500888570662,0.223551980336907,0.0907149590690572,0.493220203273352,0.218123815558935,0.254390309512635,0.276447618329563,0.404627713662165,0.206556754439858,-0.0199916714667145,-0.325406003384513,0.162493107130758,0.690576599517268,-0.0904118149082848,0.6980963212635,0.61344635295658,0.194970187910436,-0.118353243751402,-0.00646408002063834,0.123980186998291,0.190277514944515,0.189973840466797,0.101964336988035,0.355364367845903,0.53742558125442,0.449041048709342,-0.0783054239851425,0.700879023255237,0.525259225450845,0.0204212390897569,0.351457077583855,0.516867187513599,0.316211864308781,0.202115129682719,0.593498712040541,0.202942451460774,0.704352380811792,0.498683329944187,0.479263310124322,-0.076088809714673,"DON"
"Dp",0.412208726043699,-0.0372261458580095,0.366844544039465,0.267555446263547,0.452122372739748,0.339132442141313,0.490627590936835,0.681269353743774,1,-0.0573121380715372,0.254534048693645,0.472977127399321,0.146709111418057,0.22211963263038,0.497502960901562,0.52504392159548,0.720898943732745,-0.120150232799898,-0.204284351870313,-0.217905741716145,0.57718839455875,0.72901770754979,0.433792053496468,0.517370826302089,0.786896549179973,0.436955155386493,0.472032586773094,0.600428359299992,0.266095555857692,0.287312195037468,0.146685679847897,0.315965690095486,-0.0144277970946351,0.673830096916909,0.596857460696866,0.110587749526021,0.0464291129737399,0.226189735108218,0.484069005456294,0.356473630510138,0.316612451892245,0.444499824906835,0.156956954637508,0.542876397827155,0.0303666672270374,-0.0152082907033633,0.223950135798316,0.251899939872204,0.165265351905051,0.719312273310538,0.161189422671187,0.328820970994315,0.373336791706169,0.0992353039443974,0.217259876316996,0.549860699023832,0.380572015547231,-0.114808046814259,0.295289497771031,-0.150028847293139,-0.187013362567653,0.153565190696796,0.383807569826132,0.692289338135992,0.198281366925044,0.549403097199327,0.79181196849323,0.0400751505032311,0.635757629955254,0.682978164566704,-0.383001470059414,0.163384175129386,0.402300845130985,0.107813679546434,0.154810422227091,0.4397994847067,0.162568924096985,0.404942078520616,0.242881920531686,0.0474550025613639,-0.157059198797138,0.136290268670681,0.613171136395056,-0.0504453393454971,0.707127902862111,0.321456811158846,0.403300598387474,0.295070137091766,0.305845245069354,-0.188711790011071,0.798696056355315,0.560366789387241,-0.0271215421082993,0.416069713735199,0.695290544100845,0.535238983328632,0.530674981584765,0.603618907947424,0.521120595439598,0.0168116729381272,0.688585562012936,-0.259870063838368,0.0652017730125819,0.489022514013095,0.48460665799389,0.406208287288814,0.243236615426458,0.139330837553208,0.304790249311484,0.274189275588842,0.331634317005463,-0.0924177048698069,-0.0973755936052215,-0.0360622681193971,0.519353860985278,0.468382770958143,0.0520939469127476,0.474045146116209,0.17520593121722,0.400270459293992,0.288589660122326,0.388464921513935,0.495552678412876,0.207937459189102,0.296355099360656,0.59960290067008,0.286262957685838,0.351308023710139,0.270242527312547,-0.422910604237245,0.760214696255764,0.105142086946833,-0.0972232267544524,0.669962836590664,0.44858846923008,0.282022129761632,0.389454043130898,0.545698905105814,-0.0885562671971399,0.465597812662976,0.164797404004943,0.488257367555471,-0.389421124089115,"Dp"
"DP",-0.701347417052304,-0.413356043651208,-0.315546151484838,0.146291514977148,0.362551828723327,-0.0978597910140941,0.239137421616943,-0.262632457939703,-0.0573121380715372,1,0.236894554754729,-0.663398977941971,0.739903451854809,0.0538166985756667,0.0411457545893532,0.37329574012042,-0.0387825338067821,-0.040471906490739,-0.0905592267184176,0.608322503062955,-0.29292900224372,0.202196536591792,-0.609024495073668,0.278142341895935,0.0747423584838951,-0.0214710701338272,-0.191043797733553,-0.259623982027037,-0.364252892445232,-0.358269463288684,-0.448655804931606,-0.338143340596086,-0.190308018489745,0.00470347640771879,-0.290528929718186,-0.055123586498649,0.61361183459435,-0.228056585342287,-0.193560705007864,-0.238398249923291,0.19106401863444,0.107187027147918,0.309702300351554,0.0529673666515477,0.204689218931092,0.43207801942465,0.0850717495240077,-0.193022290413031,-0.235797508518715,-0.111354420267735,0.0665802532770139,0.0692868559096439,0.377333481551738,0.220294340775687,0.250133438454007,0.168213654485832,0.254134605344761,0.195088201128298,-0.240401259433711,0.683871232807375,0.157759073381457,0.284120635641369,0.0749489419407112,0.15506882738388,0.187108397696779,-0.177882885875508,0.0315240045990577,0.442100092583932,-0.190825089773236,-0.232335595841213,0.347943722427891,0.516569658428735,-0.124251814813476,0.266794407170598,0.000605182392861444,0.0568443512462506,0.68531354163402,0.0844370347169391,-0.0504820266176636,-0.0605143260074753,0.724466484698577,-0.119738215225335,-0.231925337339872,0.919127510787108,-0.138728589655319,0.662706624957389,0.53103105047357,0.0105714071567469,0.0594924931418877,0.67633904920695,-0.237778817561799,0.23774645573762,-0.151889678975883,-0.0494354821923541,-0.169991610676136,-0.142543029467851,0.0577987874858866,-0.127472321235446,0.218405457932102,0.391450425244832,-0.0309341948119718,0.693723946564098,0.190566160600335,0.0200506957238193,0.289369320242111,0.362400982704632,0.478389669101739,0.333960256524083,-0.0731422622087044,-0.0628765106269183,-0.00394291501866137,-0.156855848420518,0.631854079039883,0.725219072795041,0.102370829049738,0.00249998176114826,0.706971297899087,-0.102074515076935,0.281684259327726,-0.376071129893513,-0.0554402839633438,-0.245193551081009,-0.22098269802097,0.156417780359906,0.074170418760957,0.123240624555872,0.460772247203071,-0.0871835638786855,-0.0268341451511001,-0.158286021062335,-0.0228884561858502,-0.155480549955402,0.000838789371546194,0.415602652626643,0.183522753126048,-0.0907453407085826,0.22188744759432,0.014075900954376,0.0892597192472552,0.03342253645041,0.281280771303675,0.185053826633514,0.232072825296675,"DP"
